"county_id","name"
"1","Baker"
"2","Benton"
"3","Clackamas"
"4","Clatsop"
"5","Columbia"
"35","Coos"
"6","Crook"
"7","Curry"
"8","Deschutes"
"36","Douglas"
"9","Gilliam"
"10","Grant"
"11","Harney"
"12","Hood River"
"13","Jackson"
"14","Jefferson"
"15","Josephine"
"16","Klamath"
"17","Lake"
"18","Lane"
"19","Lincoln"
"20","Linn"
"21","Malheur"
"22","Marion"
"23","Morrow"
"24","Multnomah"
"25","Polk"
"26","Sherman"
"27","Tillamook"
"28","Umatilla"
"29","Union"
"30","Wallowa"
"31","Wasco"
"32","Washington"
"33","Wheeler"
"34","Yamhill"
