"title","aol_page","body","reachcode","parent_id","permanent_id","gnis_id","gnis_name","fishing_zone_id"
"Fish Lake","194","<p>
<p>(From <em>Atlas of Oregon Lakes</em>, Johnson et al. 1985) &nbsp;Fish Lake is a lovely mountain lake situated on the south side of the Wallowa Mountains at an elevation of 6640 feet. It is located just south of the Eagle Cap Wilderness in the Wallowa-Whitman National Forest and is quite remote, reachable only via a long gravel road from Halfway. Originally, a small natural lake existed at the west end of what is now the Fish Lake basin. Early in this century a dam was constructed at the lake's outlet to increase storage capacity for irrigation. Consequently, the deepest part of the lake is at the west end rather than near the dam at the east end as would be expected in an impoundment. There is a one-acre island in the middle of the lake and several large boulders are exposed at the water's surface. Surface runoff from snowmelt on surrounding slopes raises the lake level in spring and early summer, but by late summer the water level drops considerably because of irrigation withdrawals.</p>
<p>In spite of its relative isolation, Fish Lake is popular as a recreation site. However, use is not heavy and it is a good place to avoid crowds. It is regularly stocked with trout and supports both rainbow trout and brook trout. Fish are small, but plentiful. The season is fairly short, with the lake closed to fishing in winter. A good Forest Service campground and a boat ramp are available for visitors on the north shore.</p>
<p>The lake remains in a very pristine condition and the water is very low in mineral concentrations. The concentration of phosphorus is low and the growth of phytoplankton moderate. Water transparency is excellent; the bottom can be seen clearly everywhere in the lake. There is no significant growth of macrophytes although a few willows persist in shallow water near the dam. The lake is well sheltered from the wind and develops a distinct temperature stratification. Oxygen is at saturation at all depths. By all indications Fish Lake is oligotrophic.</p>
</p>","17050201000977","","127034371","01120767","Fish Lake","4"
"Davis Lake","64","<p>(From <em>Atlas of Oregon Lakes</em>, Johnson et al. 1985). Davis Lake is one of the largest of the many mountain lakes on the east slope of the Central Oregon Cascades. It straddles the Klamath/Deschutes county line and lies at an elevation of 4386 feet above sea level. The name Davis is taken from ""Button"" Davis, a nineteenth century stockman from the Prineville area who ran cattle in the vicinity of the lake. Davis Mountain, rising above the lake on the east side, was presumably named for the same man. In 1878 the name was already in use when Lt. T.W. Symons visited the area. His survey report included the first known description of Davis Lake and its valley and pointed out several essential features: the large surrounding meadow, backed by a forest of ponderosa pine; evidence of large fluctuations in water level and surface area; and the lava dam that impounded the waters of Odell Creek to form the shallow lake.</p>
<p>As noted by Symons, Davis Lake is a dramatic product of the recent geologic history of the Central Oregon Cascades, an area of widespread volcanic activity. Odell Creek incised a channel into the surface of a high lava plateau and was later filled by a lava flow several hundred feet thick that impounded the creek, forming Davis Lake. Although the date of this flow has not been determined precisely, it is certainly one of the youngest in the Cascades and may be as recent as 1000 years old. Certainly it is less than 6600 years old, because the flow is not covered by the regional blanket of pumice from Mt. Mazama.</p>
<p>The hydrology of Davis Lake and the physical geography of its drainage basin was well documented by Phillips and Van Denburgh (1968). The drainage basin covers an area of about 111 square miles and reaches a maximum elevation of 8744 feet at the summit of Diamond Peak. The lava plateau slopes gently toward the northeast and is dotted with many cinder cones. A surface deposit of highly permeable pumice overlies all but the most recent deposits and supports an almost continuous forest of ponderosa pine. Infiltration rates into the permeable volcanic material are very high and little surface drainage has developed. Thus, the hydrologic boundary of the basin may not be completely coincident with the topographic basin.</p>
<p>Odell Creek and Ranger Creek, two perennial streams, feed the lake and there is direct surface runoff from snowmelt. Subsurface springs must also contribute inflow. There is no surface outlet, but considerable seepage through the blocky lava dam. During the summer season this output exceeds flow into the lake and the surface area covered by water gradually decreases. High water level usually occurs in June with a two to three foot drop by autumn and considerable reduction in surface area. There is also fluctuation from year-to-year in response to the amount of precipitation in the preceding winter, and to some extent in the two or three previous years. It is not unusual for surface area to vary from 1000 acres to 4000 acres in successive years. Davis Lake is more meadow and marsh than it is lake in drier years. The normal range of water surface elevation in historic times appears to be from about 4376 feet to a high of 4392 feet. Klamath and Deschutes counties and the Oregon Department of Fish and Wildlife combined efforts to seal several sumps along the east side of the lake to reduce water loss (McHugh 1972). Other sumps are known to exist in the bottom of the lake, and water loss through these is the reason that no attempt has been made to raise the lake level for storage, as has been done with many other lakes in the area.</p>
<p>Four miles downstream from the lake at the far end of the lava flow is Davis Creek, fed by a number of large springs whose openings range in elevation from 4310 feet to 4360 feet. Since the construction of Wickiup Dam in 1949, located 10 miles northeast of Davis Lake, these springs are usually submerged except when water level in the reservoir is low. However, this does not appear to influence the flow of these springs. Although the source of this spring flow has not been directly traced, it appears that they are in large part supplied by seepage from Davis Lake. There is a well defined relationship between the flow of the springs and the stage of the lake.</p>
<p>Davis Lake is rich biologically; the bottom material has a high organic content and the production of insects, crustaceans, and other fish food is high. It is well enriched from natural sources (McHugh 1972). As the waters in the lake recede, exposing more wetland, a variety of emergent macrophytes grow in the shallow areas. Grasses surround the lake, and small birds nest in the grasses and willows. Waterfowl habitat is excellent and supports a variety of ducks, geese, swans and sandhill cranes. Davis Lake is an important link in the chain of waterways and feeding grounds that form a major migration route.</p>
<p>Fishing in Davis Lake is excellent. Only fly-fishing is now permitted, thereby reducing pressure on the lake and providing for a quality experience. Baits and lures can be used on Odell Creek. The creek is closed to fishing until the end of May because of spawning rainbow trout. Rainbow trout, some quite large, are taken most commonly in the lake, kokanee also run large, but appear to have declined in&nbsp;numbers in recent years. Landlocked coho salmon are generally self-sustaining, although they have been restocked periodically. The lake was treated in 1961 to kill trash fish. Toxaphene was used and because of the persistence of the toxicant nearly a year passed before restocking was possible. No trace of toxaphene was ever detected in the springs entering Wickiup Reservoir (McHugh 1972). Restocking was with Atlantic salmon, kokanee, and silver salmon. Oregon whitefish also are found.</p>
<p>Much of the ecological character of Davis Lake is determined by its shallow morphometry and fluctuating water level. It is constantly mixed from top to bottom and does not develop any stable thermal stratification. Dissolved oxygen is always plentiful throughout the water column. Major ion concentrations are slightly above average for natural mountain lakes in the Cascades, but are characteristic of lakes in the Cascades surrounded by pumice soils. The concentrations of chlorophyl and phosphorus and the water transparency suggest mesotrophic conditions. Nutrients are readily recycled from the rich organic sediments and stimulate the growth of planktonic algae, also a consequence of the continual mixing of the water column. Additional nutrients are added by migrating waterfowl. The phytoplankton densities reflect mesotrophy, however the species present indicate varying ecological conditions. <em>Anabaena</em> is more common in eutrophic lakes, while <em>Chromulina</em> is most often found in oligotrophic lakes. The phytoplankton also contains many periphytic diatoms (diatoms growing attached to macrophytes on the lake bottom), which are characteristic of shallow lakes.</p>
<p>&nbsp;</p>","17070301000914","","149199355","01140666","Davis Lake","1"
"Phillips Lake","116","<p>
<p>(From <em>Atlas of Oregon Lakes</em>, Johnson et al. 1985). Phillips Lake in east-central Oregon is the primary component of the Upper Division of the Baker Project, a Bureau of Reclamation project that provides water for the irrigation of agricultural land in the Powder River Valley near the city of Baker. The Lower Division of the project, consisting of Thief Valley Dam and Reservoir, provides a supplemental water supply for about 7300 acres along the Powder River northeast of Baker. Water resource development in the Upper Division has been under study since about 1930, and the present development evolved from an earlier plan that contemplated a valley-wide irrigation district. The irrigated area now served by the Upper Division consists of 18,500 acres adjacent to and north of Baker, and includes some contiguous areas that had previously been dry-farmed. Project benefits also include flood control, fish and wildlife enhancement, and recreation. Construction of Upper Division facilities, including Mason Dam which impounds Phillips Lake, was begun in 1965 and completed in 1968. At full pool the lake is five miles long, covers 2435 acres, and has a capacity of 90,500 acre-feet. The lake was named for Fred Phillips, a prominent Baker resident and long-time advocate of the project.</p>
<p>The 144 square-mile drainage basin contributing to Phillips Lake is mostly within the Wallowa-Whitman National Forest and is covered with a coniferous forest. The Forest Service is charged with management of lands surrounding the lake and has established two campgrounds and two boat launching sites. A small campground is located adjacent to the dam and a very large one, Union Creek Campground, is on the north side of the lake. There are also two designated overflow camping areas at the west end of the lake. Facilities are all accessible from the Sumpter Valley Highway (Highway 220) which flanks the north side of the lake. An unpaved road along the south side of the lake is closed to vehicular traffic. Visitor use at Phillips Lake has been quite heavy since its completion. In addition to use by fishermen and campers, there is also swimming and water-skiing during the summer months. Fishing is particularly good near the dam, although success has frequently been hindered by the presence of rough fish. Recreational use of the lake has been greater than expected and there are definite signs of overuse by visitors. The indiscriminant use of land outside designated camping areas has caused serious damage including soil loss, soil compaction, vegetation destruction, litter and trash, wildlife harassment, and general unsanitary conditions. Most of the damage has been caused by vehicle use.</p>
<p>Upstream from the lake is a region of great historical and natural significance. Much of the Sumpter Valley consists of piles of rock dredged up during a period of intense hydraulic mining earlier in this century. The valley bottom was ruined by this final phase of gold extraction. However, due to some channeling, the area has become prime wildlife habitat, a nesting area for birds, and the year round home for small mammals; deer and elk also winter here. A few artificial snags have been installed on a meadow along the northwestern shore of the lake and serve as nesting sites for eagles and hawks. The Sumpter Wildlife Area is immediately upstream of the lake, a designated area of about 36,000 acres that extends about 11 miles to near the town of Sumpter. The conversion of the Sumpter Valley gold dredge site into a viable wildlife area offers a blueprint for the reclamation of land ravaged by the effects of mining.</p>
<p>The lake basin is characteristic of reservoirs, with the deepest point near the dam at the eastern end, and becoming progressively shallower toward the upstream end of the reservoir; there are numerous small embayments where smaller tributary streams enter. Macrophytes grow in these shallow enbayments, but are not abundant. Also characteristic of reservoirs, the banks are not yet stabilized and turbidity plumes develop from bank erosion when winds create surface waves. The mineral content of the water is moderate; calcium and sulfate are somewhat above average for eastern Oregon reservoirs. The pH is frequently above 8 during the summer as a result of the growth of phytoplankton. In 1970, the most common species of phytoplankton was a diatom, <em>Melosira granulata</em>, which is common in eutrophic lakes (McHugh 1972). A phytoplankton sample collected on 8/16/82 was dominated by<em> Aphanizomenon</em> (a blue-green alga), but the total phytoplankton density was unusually low. This alga was not present in a sample collected three weeks earlier, and may have been increasing on the 8/16/82 sample date. <em>Gloeotrichia</em>, which is a blue-green alga that forms large colonies, was visible but was not abundant in the lake. Phosphorus and chlorophyl concentrations are moderate to high, and water transparency is low to moderate. Surface temperatures can become fairly warm in mid to late summer, but the reservoir remains cool below 100 feet (30 meters). There is some tendency for oxygen depletion in deeper water. Overall, Phillips Lake is mesotrophic in character.</p>
</p>","17050203006928","","112958131","01132099","Phillips Lake","4"
"Waldo Lake","138","<p>
<p>(From <em>Atlas of Oregon Lakes</em>, Johnson et al. 1985). Waldo Lake, located at an elevation of 5414 feet near the crest of the Cascade Range, is one of the largest natural lakes in Oregon. Its surface area of 6298 acres is second only to Upper Klamath Lake (and Agency Lake) among natural non-alkali lakes in the state. It is also the second deepest lake in the state after Crater Lake; maximum depth is 420 feet and the mean depth is 128 feet. The total volume of water in Waldo Lake is nearly 800,000 acre-feet, and it has an extremely long retention time. However, the most outstanding feature of this lake is its ultraoligotrophic character; it is indeed one of the most oligotrophic water bodies in the world. The water is a beautiful cobalt blue color and remarkably clear. Certainly this feature has changed little since the lake was first visited by surveyors in the nineteenth century. Waldo Lake and others nearby were shown as the Virgin Lakes on an 1863 survey map, and it was also at one time known at Pengra Lake. Eventually, the lake was named for Judge John B. Waldo who sought his recreation in the Cascades.</p>
<p>The lake basin, estimated to be 10,000 to 12,000 years old, is a glaciated depression enclosed by end and lateral moraines. This entire section of the Cascades is dotted with lakes in depressions left by the melting of ice sheets at the end of the Pleistocene Epoch. Little surface drainage has developed in the relatively flat, youthful topography. No permanent surface streams enter Waldo Lake, although there is snowmelt runoff through countless temporary streams during spring and early summer. There is also some seepage in from springs on the lake bottom. Almost one-third of the drainage basin consists of the lake itself, and direct precipitation is a major source of water. The lake is the source of the North Fork of the Willamette River, which discharges from the northwest end, and there is another outlet to the southwest. At one time there were plans to install hydroelectric generating equipment at this second outlet, but to date it has not been done. The surrounding landscape is blanketed by a coniferous forest, predominantly Douglas fir, hemlock, and pine. Huckleberry is the principal species of understory vegetation. The thin, porous soil mantle overlies basaltic bedrock and consists of moderately weathered</p>
<p>volcanic ash and boulders from glacial outwash.&nbsp;Generally, the shoreline of the lake is rocky and irregular shaped with numerous indentations. Small sandy beaches are numerous along the eastern shoreline, while the western shore has fewer beaches and is generally steeper.</p>
<p>Prior to 1969 Waldo Lake was accessible only by trail or four-wheel drive vehicle and the majority of users lived within a 100-mile radius. In June of that year a paved road was opened, thus linking the lake with a major highway. Campgrounds were constructed by the Forest Service on the east shoreline and plans made for an all-year recreation site. As a result of the improved access, visitor use has risen dramatically, although it is for the most part confined to the period July 15 to September 15. The Waldo Lake Recreation Area of 32,000 acres is a management unit of the Willamette National Forest, designed to protect the beautiful alpine characteristics of the lake and its surroundings. A network of trails lace the area and vehicle access is restricted. Sail boaters and canoeists find the lake appealing during the short season. Anglers commonly pack into some of the many small, high lakes nearby. Waldo Lake has a lot of kokanee, eastern brook trout and rainbow trout, although populations are small; the most productive areas are in the littoral zone where the fish feed in shallow water near shore.</p>
<p>Waldo Lake is thermally stratified in the summer. The surface water remains cool, 59 to 64 degrees Fahrenheit (15 to 18 degrees Celsius) and the thermocline begins at a depth of about 33 feet (10 meters). Because of the lake's considerable depth, heating extends to only about this depth; bottom water is near the temperature of maximum density, 39 degrees Fahrenheit (4 degrees Celsius) year round. The chemistry and biology of the water in Waldo Lake are exceptional and clearly classify the lake as ultraoligotrophic. It is the most oligotrophic lake in the state and, as noted by Carter et al (1966),</p>
<p>among the purest lakes in the world. Concentrations of ions, conductivity, and alkalinity are exceptionally low, closely similar to the composition of rain water in a pristine environment. The pH of the lake is slightly acid, also characteristic of uncontaminated rain water which acquires its mild acidity from atmospheric carbon dioxide.</p>
<p>Nutrient concentrations are exceptionally low as well. Bioassay experiments conducted by Powers et al (1975) and Maloney et al (1975) indicate that phosphorus concentrations limit the growth of algae. The population densities of planktonic algae are perennially low, seldom exceeding 50 cells/ml. A few planktonic species of diatoms (<em>Asterionella formosa</em>, M<em>elosira sp, Synedra sp</em>) have been reported, but the commonest species observed all belong to the diatom genus <em>Eunotia</em>, a characteristically benthic or epiphytic species, and the dinoflagellate genus <em>Glenodinium</em>. Patches of aquatic moss (<em>Hygrohypnum</em>) appear at all depths. Much of the very limited primary production in the lake results from the growth of the moss and attached diatoms. Larson (1970a) measured the primary production of the plankton by the sensitive carbon-14 method, and observed some of the lowest productivities anywhere in the world (average of 29 mg C/m2 during summer months); for example, this productivity is less than half the productivity observed in Crater Lake (Larson 1972a). The very pure water and lack of plankton are responsible for the exceptional transparency of the water. Larson (1970a) measured transparency at over 115 feet (35 meters) using a one-meter Secchi disk; other observers consistently report Secchi disk readings of 66 to 100 feet (20 to 30 meters) or more. At noted, natural fish growth in the lake is undoubtedly limited because of the very unproductive planktonic food chain; zooplankton are sparse. In some areas, there are noticeable populations of benthic invertebrates, primarily insect larvae, and this benthic productivity may be vitally important to the maintenance of fish populations.</p>
</p>","17090001020920","","93054427","01151818","Waldo Lake","6"
"","","","17090007005879","","147816455","","","6"
"Upper Klamath Lake","136","<p>
<p>(From <em>Atlas of Oregon Lakes</em>, Johnson et al. 1985). Upper Klamath Lake, with a surface area of 61,543 acres (over 70,000 acres including Agency Lake), is the largest freshwater lake in Oregon and one of the largest in the United States. It is a natural water body lying in the structural valley known as the Klamath Graben. Including Agency Lake and its connecting channel, it is about 25 miles long and ranges in width from 2.5 to 12.5 miles. It lies east of the Cascade Mountains at an elevation of 4139 feet. The water level is regulated by a low dam constructed in 1917 by the Bureau of Reclamation, which maintains the surface elevation between 4137 feet and 4147 feet. The drainage basin is about 3800 square miles, much of it a mountainous volcanic area covered with pumice deposits derived from the formation of the Crater Lake caldera. Elevations in the basin range from 4147 feet at the lake to over 9000 feet at some of the higher peaks in the Cascade Mountain Range to the west. The mountains create a rain shadow over much of the area, and precipitation varies from as little as 15 inches at lower elevations, to more than 60 inches at higher elevations. Consequently, vegetation also varies; the mountainous regions have forests of Douglas fir, ponderosa pine, lodgepole pine and true firs, while the open flatlands are associated with large pumice deposits occupied by grass-shrub communities. Large marshes exist throughout the drainage basin. The Sycan (995 acres) and Klamath Marshes (8121 acres) cover the basins of former Pleistocene lakes and extensive marsh areas surround much of the present Upper Klamath and Agency Lakes. Flora associated with the marsh area is a typical sedge-reed community. Since World War I, large sections of marsh have been reclaimed for agricultural use.</p>
<p>The major tributary of Upper Klamath Lake is the Williamson River, accounting for about 46 percent of the inflow to the lake. The origin of this river is a large spring, and it flows through pasture land before entering Klamath Marsh. The river flowing out of the marsh is a dark brown color due to very high dissolved aquatic humus concentrations. The Sprague River joins the Williamson River just prior to entering Upper Klamath Lake on the north shore. Wood River is the second largest tributary, and drains into Agency Lake and then into Upper Klamath Lake on the north shore. Other tributaries, mostly draining agricultural areas, also enter the lake. The outlet is the Link River flowing out of the south end of the lake into Lake Ewauna and into the Klamath River which eventually enters the Pacific Ocean in northern California.</p>
<p>Upper Klamath Lake fills a vital role in water-resource utilization in south central Oregon. Water from the lake is used for irrigation of reclaimed agricultural land; it is regulated to enhance power generation at the Pacific Power and Light projects on the Link River and farther downstream on the Klamath River at the John C. Boyle facility; also it is used extensively by waterfowl, the marshy habitat being an important stopover during fall and spring migrations on the Pacific flyway. Recreational use of Upper Klamath Lake has always been a major focus, particularly for fishing and boating. However, water-contact sports are discouraged by the poor water quality. Several resorts are located at various places around the lake, especially on the west side near the Lake of the Woods road, and there are numerous public campgrounds, picnic areas and boat launching sites. For the angler, rainbow trout are the major attraction and some very large fish have been caught. Most of the fishing is done along the western shore, from Pelican Bay south to Wocus Bay and most of it close to shore because of rough waters commonly encountered farther out in the lake. In addition to trout, warm-water species also thrive in Upper Klamath Lake. Fishing for trout is allowed all year in the southern part of the lake; the northern part, including Agency Lake, is open only during the normal summer trout season. Two genera of Cyprinidae, blue chub (<em>Gila bicolor</em>) and tui chub (<em>Siphateles bicolor</em>), constitute 90 percent of the fish population in the lake.</p>
<p>The maximum depth of Upper Klamath Lake is over 50 feet at several rather confined areas of deep water along the west shore. However, most of the lake is shallower than 20 feet. The concentrations of major ions are slightly above average, as is the conductivity. The concentration of phosphorus in the water is quite variable with the season, but is always high. The inflow to the lake from the Williamson River carries a high concentration of phosphorus derived from natural springs and from surface runoff. The sediment on the bottom of the lake is quite thick, is very rich in phosphorus and other nutrients, and is a significant source of nutrients. The most unusual aspect of the chemistry of the lake is the seasonal influx of dissolved organic matter (humic substances) derived from the Klamath Marsh through which the Williamson River passes on its way to Upper Klamath Lake.</p>
<p>Although situated in beautiful natural surroundings, there has never been much development on the shoreline of the lake because of the massive summer blooms of highly offensive blue-green algae. Severalstudies have indicated that the blooms are entirely natural and maintained by enormous supplies of nutrients contained in the bottom deposits and probably by additional supplies originating in the Klamath and Sycan Marshes and delivered to the lake via the Williamson River. The overwhelming dominant alga is <em>Aphanizomenon flos-aquae</em>, which is a blue-green alga that forms large colonies that resemble ""grass clippings"". It begins to appear throughout the lake in late spring, and continues to increase to very high densities (as high as 30,000 filaments per ml) by late summer. In early fall, nearly all of the <em>Aphanizomenon</em> die, and the decomposition of this large amount of biomass creates undesirable conditions such as dissolved oxygen depletion and strong unpleasant odors. The timing of the annual <em>Aphanizomenon </em>bloom (i.e., dates of appearance and decline) has been correlated with the flow of the Williamson River (Perdue et al 1982). Outflow from the humus-rich Klamath Marsh ceases each summer; during dry years the flow ceases earlier than during wet years. The <em>Aphanizomenon</em> in Upper Klamath Lake follows this same pattern; in dry years the bloom starts earlier than in wet years. No explanations were provided, but the strong correlation suggests an influence of the Williamson River upon <em>Aphanizomenon</em> in Upper Klamath Lake. The densities of <em>Aphanizomenon</em> vary from place to place in the lake; a few bays have very high densities, marshy areas tend to have lower densities, and winds may concentrate the algae near downwind shores. The phytoplankton samples in this survey in 1982 were collected near Eagle Point where the maximum depth is found; the phytoplankton densities were much lower here than in most other sections of the lake. Although only 206 filaments of <em>Aphanizomenon</em> per ml at Eagle Point were measured on 8/22/82, nearby Shoalwater Bay had an extremely high Aphanizomenon density, sufficient to thickly cover the water surface. In winter <em>Cryptomonas erosa</em> is most abundant, followed by <em>Stephanodiscus astrea</em> minutula during early spring. Other common species of phytoplankton include&nbsp;<em style=""border-style: initial; border-color: initial;"">Gloeotrichia echinulata, Anabaena&nbsp;</em>circinalis, <em>Anacystis aeruginosa, Asterionella formosa</em> and <em>Melosira</em>.</p>
<p>Other problems associated with this hypereutrophic lake are an overabundance of midges and dense beds of macrophytes. The midge larvae (Chironomus) grow in bottom sediments where the water is shallow, which is most of the lake. The adults swarm and create a serious nuisance to humans on and near the lake. Many shallow bays, particularly Pelican Bay, are covered with the macrophyte Potamogeton crispus; these aquatic weeds seriously deter boating traffic.</p>
<p>Upper Klamath Lake has come under study several times during the past few decades in the hope that solutions to these problems might be found. The most recent study was performed during 1981-1983, and was funded by EPA through the Clear Lakes Program (Klamath Consulting Service 1983). This EPA-funded study investigated several lake restoration (""manipulation"") alternatives aimed at reducing the algal bloom and macrophyte problems, as well as addressing navigation problems resulting from low water levels. Three sections of the lake were identified as possible sites that may benefit from restoration technology. The southern part of the lake receives the largest amount of recreation, as it is nearer to the population center of the area. The major problem here is the inability of boats to navigate during low water periods, hence recreation and tourism suffer seriously. Howard Bay is another area that receives extensive recreational activity; dense algal blooms occurring here deter these activities. The third area receiving attention under the study was Pelican Bay, where extensive macrophyte growths (<em>Potamogeton crispus</em>) deter navigation and degrade water quality.</p>
<p>The primary restoration alternative proposed was to maintain the minimum lake level three feet higher than is presently maintained. This would greatly benefit the navigation problems in all areas of the lake, and an improvement in water quality would be likely. The study monitored water quality conditions for two years: 1981 was a drought year and the lake level was low, but 1982 was a wet year and higher lake levels existed. The water quality was better in 1982 with higher lake levels than in 1981 when the lake was shallower. To maintain a higher lake level, additional water supplies would be needed during summer; an off-stream storage project presently under consideration would meet this requirement. Other restoration alternatives are specific to the three sites mentioned above. These include dredging a channel in the south part of the lake, dredging either a 3000 acre area or a channel in Howard Bay, flushing Howard Bay in the event off-stream storage water becomes available in the future, and harvesting and/or screening the macrophyte beds in Pelican Bay.</p>
<p>It must be emphasized that Upper Klamath Lake is a naturally hypereutrophic lake, and that any restoration activity would only lessen the problems inherent in this lake and could not resolve or eliminate them. Nevertheless, restoration alternatives, although costly, may improve conditions in Upper Klamath Lake sufficiently to benefit water quality, recreation and navigation.</p>
</p>","18010203003572","","168095445","01151685","Upper Klamath Lake","4"
"Hills Creek Lake","86","","17090001005308","","93082869","01158881","Hills Creek Lake","6"
"","","","17100201000104","","144657735","01127095","Slusher Lake","3"
"Platt 1 Reservoir","252","<p>
<p>(From <em>Atlas of Oregon Lakes</em>, Johnson et al. 1985) &nbsp;Platt I Reservoir was built for flood control and irrigation supply in the late 1960s. It consists of a 33-foot high earthfill dam which impounds the waters of Sutherlin Creek and tributaries. It is exceptionally shallow with a maximum depth of only slightly over 12 feet at full pool; over half the reservoir is shallower than five feet. Water levels drop during the summer and stay quite low in the winter. As a result cattails and other emergent macrophytes encroach upon the water, covering nearly half the surface. Most of the rest of the bottom is covered with submerged macrophytes.</p>
<p>The contributing drainage basin is primarily private land with much of it in use as pasture and farm land. There are some patches administered by the Bureau of Land Management. The shoreline of the reservoir is entirely in private ownership, although public access is permitted and one paved boat ramp is available. It has become an excellent fishing spot and is open year round. Rainbow trout, crappies, bluegill, largemouth bass, and catfish make up the catch.</p>
<p>The reservoir is too shallow to develop a distinct temperature stratification and the water becomes quite warm in the summer. The concentrations of major ions in the water are exceptionally high. Except for coastal lakes and a few lakes in the Basin and Range area of south-central Oregon, Platt I Reservoir is one of the saltiest in the state. The source of these ions is unidentified, but the high concentration appears to be characteristic of waters in the area; nearby Cooper Creek Reservoir is also saltier than is typical. Concentrations of chlorophyl and phosphorus, as well as water transparency, are average and indicate mesotrophic conditions.</p>
</p>","17100301005061","","121516715","01133238","Platt 1 Reservoir","5"
"Lake Abert","40","","17120006001102","","148603558","01116755","Lake Abert","4"
